PlaylistName,CollaborativePlaylist,SongName,AddedBy,Artist,Feature1,Feature2,Feature3,Feature4,Feature5
4jever,False,Buwan,jurinagata16,juan karlos,NaN,NaN,NaN,NaN,NaN
4jever,False,Habang Buhay,jurinagata16,Zack Tabudlo,NaN,NaN,NaN,NaN,NaN
4jever,False,Float On,1261707344,Modest Mouse,NaN,NaN,NaN,NaN,NaN
4jever,False,Promiscuous,1261707344,Nelly Furtado,Timbaland,NaN,NaN,NaN,NaN
4jever,False,These Words,1261707344,Natasha Bedingfield,NaN,NaN,NaN,NaN,NaN
4jever,False,Drops of Jupiter (Tell Me),1261707344,Train,NaN,NaN,NaN,NaN,NaN
4jever,False,Steal My Girl,jurinagata16,One Direction,NaN,NaN,NaN,NaN,NaN
4jever,False,She Looks So Perfect,jurinagata16,5 Seconds of Summer,NaN,NaN,NaN,NaN,NaN
4jever,False,Best Day Of My Life,jurinagata16,American Authors,NaN,NaN,NaN,NaN,NaN
4jever,False,Cloud 9,jurinagata16,Beach Bunny,NaN,NaN,NaN,NaN,NaN
4jever,False,Apple Cider,jurinagata16,beabadoobee,NaN,NaN,NaN,NaN,NaN
4jever,False,River Flows In You,jurinagata16,Yiruma,NaN,NaN,NaN,NaN,NaN
4jever,False,"My Heart Will Go On - Love Theme from ""Titanic""",jurinagata16,Céline Dion,NaN,NaN,NaN,NaN,NaN
4jever,False,Going Home,jurinagata16,The Score,NaN,NaN,NaN,NaN,NaN
4jever,False,Change My Mind,jurinagata16,Peach Tree Rascals,NaN,NaN,NaN,NaN,NaN
4jever,False,Silver Tongues,jurinagata16,Louis Tomlinson,NaN,NaN,NaN,NaN,NaN
4jever,False,A Sky Full of Stars,1261707344,Coldplay,NaN,NaN,NaN,NaN,NaN
4jever,False,Hymn for the Weekend,1261707344,Coldplay,NaN,NaN,NaN,NaN,NaN
4jever,False,Let Me Love You (Until You Learn To Love Yourself),1261707344,Ne-Yo,NaN,NaN,NaN,NaN,NaN
4jever,False,Why'd You Only Call Me When You're High?,1261707344,Arctic Monkeys,NaN,NaN,NaN,NaN,NaN
4jever,False,Static,1261707344,Steve Lacy,NaN,NaN,NaN,NaN,NaN
4jever,False,Rhiannon,1261707344,Fleetwood Mac,NaN,NaN,NaN,NaN,NaN
4jever,False,Dati,jurinagata16,Tippy Dos Santos,NaN,NaN,NaN,NaN,NaN
4jever,False,AMAZING,jurinagata16,Rex Orange County,NaN,NaN,NaN,NaN,NaN
4jever,False,Here With Me,jurinagata16,d4vd,NaN,NaN,NaN,NaN,NaN
4jever,False,Flowers,jurinagata16,Miley Cyrus,NaN,NaN,NaN,NaN,NaN
4jever,False,Iris,1261707344,The Goo Goo Dolls,NaN,NaN,NaN,NaN,NaN
4jever,False,rockstar (feat. 21 Savage),1261707344,Post Malone,21 Savage,NaN,NaN,NaN,NaN
4jever,False,Trip,1261707344,Ella Mai,NaN,NaN,NaN,NaN,NaN
4jever,False,Tek It,1261707344,Cafuné,NaN,NaN,NaN,NaN,NaN
4jever,False,My Own Worst Enemy,1261707344,Lit,NaN,NaN,NaN,NaN,NaN
4jever,False,Me Myself & I,1261707344,5 Seconds of Summer,NaN,NaN,NaN,NaN,NaN
4jever,False,Heartache On The Big Screen,1261707344,5 Seconds of Summer,NaN,NaN,NaN,NaN,NaN
4jever,False,Nobody Compares,1261707344,One Direction,NaN,NaN,NaN,NaN,NaN
4jever,False,Heart Attack,1261707344,One Direction,NaN,NaN,NaN,NaN,NaN
4jever,False,Kill Bill,jurinagata16,SZA,NaN,NaN,NaN,NaN,NaN
4jever,False,Until I Found You (with Em Beihold) - Em Beihold Version,jurinagata16,Stephen Sanchez,Em Beihold,NaN,NaN,NaN,NaN
4jever,False,"Sex, Drugs, Etc.",jurinagata16,Beach Weather,NaN,NaN,NaN,NaN,NaN
4jever,False,golden hour,jurinagata16,JVKE,NaN,NaN,NaN,NaN,NaN
4jever,False,Die For You,jurinagata16,The Weeknd,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Losing a Whole Year,1261707344,Third Eye Blind,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Savin' Me,1261707344,Nickelback,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,My Own Worst Enemy,1261707344,Lit,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Something In The Way,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Buddy Holly,1261707344,Weezer,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Supermassive Black Hole,1261707344,Muse,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,No Surprises,1261707344,Radiohead,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Hysteria,1261707344,Muse,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Where Is My Mind? - 2007 Remaster,1261707344,Pixies,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Reptilia,1261707344,The Strokes,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Aneurysm,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,This Charming Man - 2011 Remaster,1261707344,The Smiths,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Santeria,1261707344,Sublime,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Creep,1261707344,Stone Temple Pilots,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Undone - The Sweater Song,1261707344,Weezer,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,505,1261707344,Arctic Monkeys,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,In Bloom,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Glycerine - 2014 Remastered,1261707344,Bush,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,By the Way,1261707344,Red Hot Chili Peppers,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,All I Think About Now,1261707344,Pixies,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,My Hero,1261707344,Foo Fighters,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Heart-Shaped Box,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,She Needs Him,1261707344,Her's,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Zero - Remastered 2012,1261707344,The Smashing Pumpkins,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,The Man Who Sold The World - Live,1261707344,Nirvana,NaN,NaN,NaN,NaN,NaN
taking a stroll ,False,Sex & Candy,1261707344,Marcy Playground,NaN,NaN,NaN,NaN,NaN
